date,region,location,number_of_consumer_units__in_thousands_,income_before_taxes,age_of_reference_person,persons,children_under_18,persons_65_and_over,earners,vehicles,percent_homeowner,average_annual_expenditures,food,food_at_home,cereals_and_bakery_products,x___meats__poultry__fish__and_eggs,dairy_products,fruits_and_vegetables,other_food_at_home,food_away_from_home,alcoholic_beverages,housing,shelter,owned_dwellings,rented_dwellings,other_lodging,x__utilities__fuels__and_public_services,household_operations,housekeeping_supplies,household_furnishings_and_equipment,apparel_and_services,transportation,vehicle_purchases__net_outlay_,gasoline_and_motor_oil,other_vehicle_expenses,public_and_other_transportation,health_care,entertainment,personal_care_products_and_services,reading,education,tobacco_products_and_smoking_supplies,miscellaneous,cash_contributions,personal_insurance_and_pensions,life_and_other_personal_insurance,pensions_and_social_security
2011,midwest,Cleveland,1194,65881,56.8,2.2,0.4,0.4,1.2,1.8,70,47992,5892,3409,477,726,368,597,1241,2482,367,15291,9061,5922,2278,860,3479,830,698,1222,1580,8534,3380,2335,2291,529,3188,2672,575,109,1158,251,542,2083,5751,319,5432
2009,northeast,All consumer units in the Northeast,22319,70077,50.9,2.4,0.6,0.4,1.3,1.7,64,53336,6866,3977,561,890,434,752,1341,2889,498,19189,11859,7471,3571,816,4040,1144,629,1516,1931,7932,2554,1845,2835,698,3128,2728,602,133,1664,410,865,1506,5885,350,5535
2008,northeast,New York,8751,81509,50.8,2.5,0.6,0.3,1.3,1.4,58,60273,7420,4066,558,987,449,799,1273,3354,498,23624,15482,9449,4859,1173,4309,1548,643,1642,2292,8495,2321,1943,3137,1093,3027,2828,686,110,2043,223,920,1515,6591,415,6176
2008,northeast,Philadelphia,2600,76612,51.1,2.5,0.6,0.4,1.3,1.7,69,56790,6460,3805,526,889,438,681,1271,2655,455,21135,13597,9319,2965,1313,4444,1021,694,1379,1824,8202,2037,2240,3156,769,3036,2873,655,142,2252,396,879,2171,6309,317,5992
2010,northeast,All consumer units in the Northeast,22382,70083,50.7,2.4,0.6,0.4,1.3,1.6,63,53695,6777,4005,584,871,438,782,1329,2772,509,19293,11903,7536,3601,766,4041,1192,630,1527,1996,8097,2515,2209,2651,722,3247,2677,615,127,1619,368,884,1627,5859,378,5481
2007,northeast,All consumer units in the Northeast,22365,70186,50.7,2.4,0.6,0.3,1.3,1.7,65,53268,6688,3806,537,875,430,686,1278,2881,481,19305,11831,7752,3052,1027,3975,1094,620,1786,2021,8455,2597,2233,2867,757,2840,2885,624,138,1374,342,889,1453,5772,363,5409
2009,northeast,New York,8962,78441,50.3,2.6,0.6,0.3,1.4,1.4,57,58942,7412,4071,565,959,446,811,1290,3341,555,23238,15321,9086,5340,896,4323,1454,623,1518,2476,7944,2098,1741,3029,1076,3016,2658,677,114,1940,251,749,1586,6325,381,5944
2009,northeast,Philadelphia,2561,69603,50.9,2.4,0.5,0.3,1.2,1.6,69,52041,6217,3702,523,847,419,676,1237,2515,431,19690,12268,8209,3095,964,4316,1013,642,1451,1817,6960,1788,1802,2746,624,2950,2618,627,121,1801,388,1293,1609,5519,300,5220
2005,northeast,All consumer units in the Northeast,22557,63655,49.9,2.4,0.6,0.3,1.3,1.6,65,48564,6357,3554,493,851,402,643,1165,2803,480,17072,10572,7004,2905,663,3498,849,619,1535,2046,7776,2902,1836,2405,633,2586,2305,549,140,1232,331,853,1421,5416,354,5062
2004,northeast,All consumer units in the Northeast,22184,62002,50.2,2.4,0.6,0.3,1.3,1.7,65,47005,6430,3640,515,946,421,645,1114,2790,532,16121,9887,6571,2726,590,3257,779,620,1577,2106,7646,3031,1572,2405,637,2476,2137,586,146,1256,314,793,1241,5223,371,4851
