date,region,location,number_of_consumer_units__in_thousands_,income_before_taxes,age_of_reference_person,persons,children_under_18,persons_65_and_over,earners,vehicles,percent_homeowner,average_annual_expenditures,food,food_at_home,cereals_and_bakery_products,x___meats__poultry__fish__and_eggs,dairy_products,fruits_and_vegetables,other_food_at_home,food_away_from_home,alcoholic_beverages,housing,shelter,owned_dwellings,rented_dwellings,other_lodging,x__utilities__fuels__and_public_services,household_operations,housekeeping_supplies,household_furnishings_and_equipment,apparel_and_services,transportation,vehicle_purchases__net_outlay_,gasoline_and_motor_oil,other_vehicle_expenses,public_and_other_transportation,health_care,entertainment,personal_care_products_and_services,reading,education,tobacco_products_and_smoking_supplies,miscellaneous,cash_contributions,personal_insurance_and_pensions,life_and_other_personal_insurance,pensions_and_social_security
2009,west,Phoenix,1536,54986,46.2,2.6,0.7,0.2,1.3,1.9,67,49016,6583,3690,472,827,347,620,1424,2893,519,16480,9476,6215,2718,543,3742,1005,759,1499,2421,8008,2561,2202,2828,417,2995,3096,792,81,311,408,741,1675,4907,173,4733
2006,northeast,Boston-Manchester,2890,80966,48.1,2.3,0.6,0.3,1.4,1.7,62,55189,6700,3893,553,887,423,657,1374,2807,565,20174,13068,8822,3175,1071,3850,1036,542,1678,2093,8707,3420,2026,2642,618,2809,3352,546,177,1381,350,736,1235,6365,254,6111
2010,west,Los Angeles,5660,69164,48.3,2.9,0.8,0.3,1.4,1.8,50,54321,7148,3959,497,903,401,856,1302,3189,611,20435,13773,6808,6235,731,3150,1447,644,1420,2234,8784,2464,2615,3079,626,2475,2343,712,95,1388,160,731,1308,5896,235,5661
2008,northeast,Boston-Manchester,2837,75729,50,2.4,0.6,0.3,1.4,1.7,66,59227,8167,4905,699,1107,533,861,1704,3262,641,20802,12857,8403,3372,1081,4248,1460,598,1639,1910,8591,2818,2125,2913,735,3453,3083,657,203,2184,474,908,1337,6817,327,6490
2010,west,San Diego,1177,81296,47.2,2.6,0.6,0.3,1.4,1.7,50,53031,5861,3150,376,643,319,656,1156,2712,660,21639,15210,8075,6694,441,3251,1210,488,1480,1871,7900,2106,2673,2651,469,2668,2385,664,87,667,176,618,1320,6517,138,6379
2008,south,Dallas-Fort Worth,2371,69055,45.7,2.6,0.8,0.2,1.4,1.8,61,53886,6734,3600,480,804,384,607,1325,3134,408,18198,10253,6248,3533,473,4275,1201,719,1749,2161,8689,2877,2616,2806,390,3032,2910,733,83,920,247,670,1996,7105,329,6776
2010,west,Phoenix,1540,55667,46.8,2.5,0.8,0.3,1.2,1.8,63,49662,6433,3789,532,731,355,650,1520,2645,548,16641,9235,5879,2772,584,3832,1098,762,1714,2348,8372,3046,2409,2546,371,2566,3692,510,94,407,454,942,1621,5034,185,4849
2009,south,Dallas-Fort Worth,2441,71972,45.1,2.7,0.8,0.2,1.4,1.8,60,52977,6673,3506,456,786,358,638,1267,3168,373,18181,10183,6336,3338,508,4346,1204,704,1744,2245,8016,2257,2452,2905,403,3182,2660,721,81,722,340,678,1989,7115,411,6704
2010,south,Dallas-Fort Worth,2504,70942,45.6,2.8,0.8,0.2,1.5,1.8,61,54628,6994,3949,550,885,388,748,1378,3045,383,18241,10248,6407,3371,470,4461,1237,739,1557,2260,9314,3175,2918,2833,388,3464,2675,827,103,632,420,582,1949,6783,384,6399
2007,south,Dallas-Fort Worth,2282,64899,46.4,2.7,0.8,0.3,1.4,1.8,64,52985,6217,3516,465,748,395,592,1316,2701,348,17737,9876,6339,3142,396,4307,1093,695,1767,1784,10140,4196,2733,2861,350,2787,2697,758,93,774,225,690,2014,6721,305,6416
2011,west,San Diego,1173,76358,50.8,2.5,0.5,0.4,1.3,1.8,53,56205,6744,3579,427,723,383,727,1321,3165,714,21640,14989,8003,6434,552,3080,1341,482,1749,2093,8748,2047,3030,3045,626,3338,2690,676,114,745,230,799,1394,6278,128,6150
2005,south,Dallas-Fort Worth,2072,66261,44.9,2.8,0.8,0.2,1.6,2,65,53294,6537,3573,468,805,392,596,1312,2964,461,17854,9883,6793,2478,611,4424,1140,714,1693,2048,9662,3919,2410,2816,517,3075,2285,713,110,799,260,839,2077,6573,382,6191
2011,west,Phoenix,1531,63167,48.1,2.5,0.7,0.3,1.2,1.6,62,53735,6985,4197,576,812,416,723,1670,2788,589,18679,10460,6661,3098,701,4055,1340,699,2125,1868,8548,2582,2600,2876,490,3102,4045,620,142,409,413,980,1482,5871,321,5550
2004,south,Dallas-Fort Worth,2054,61753,44.9,2.8,0.8,0.2,1.5,2,68,50637,6426,3560,489,805,414,579,1273,2867,540,16706,9453,6818,2147,488,3833,929,645,1845,2228,8838,3587,1982,2799,469,3027,2111,767,118,921,228,783,1855,6090,437,5652
2006,south,Dallas-Fort Worth,2171,67145,45.5,2.8,0.9,0.2,1.5,1.9,64,54334,6160,3498,434,774,381,605,1304,2662,381,18169,9843,6446,2892,505,4551,1192,728,1856,1907,10764,4866,2559,2902,439,2967,2515,747,101,739,265,765,2223,6632,346,6286
2007,south,Baltimore,1027,82140,48.1,2.4,0.5,0.3,1.4,1.7,70,52543,5979,3257,431,828,352,576,1069,2723,416,20255,12904,9443,2912,548,4170,881,822,1478,1415,7793,2396,2665,2191,542,2571,2730,555,74,1294,225,746,1742,6746,444,6302
2007,south,Atlanta,2269,70428,45.8,2.4,0.6,0.2,1.4,1.8,65,46667,6005,3006,406,682,313,532,1073,2999,375,17275,10925,7421,2923,582,3811,820,447,1271,1635,7316,2101,2821,1893,501,2383,2168,527,79,467,197,751,1588,5900,281,5619
2011,south,Dallas-Fort Worth,2510,70990,47,2.7,0.8,0.3,1.4,1.8,61,57144,7150,4141,569,980,416,735,1442,3009,447,18810,10565,6334,3728,504,4364,1429,716,1735,2474,10653,4087,3189,2939,439,3690,3025,799,104,784,382,488,1947,6390,351,6039
2011,west,Los Angeles,5805,69562,48.7,2.9,0.7,0.3,1.4,1.7,49,55312,7504,4337,542,989,456,922,1428,3166,613,20854,13695,6723,6384,589,3336,1495,736,1591,2150,8835,2521,2951,2765,597,2707,2395,732,95,1471,149,915,1279,5616,217,5398
2007,south,Houston,1882,75751,45.1,2.8,0.8,0.2,1.5,1.8,62,55703,6837,3515,416,836,383,576,1304,3323,626,18059,10359,6906,2834,619,4332,1018,677,1674,1990,10880,4070,3274,3064,472,3002,2653,761,90,1009,298,733,1886,6879,346,6533
2008,south,Miami-Fort Lauderdale,1673,64010,48.2,2.6,0.6,0.3,1.3,1.4,60,47601,5803,3741,520,867,467,780,1106,2062,349,19016,12592,7115,4442,1036,3740,1035,558,1091,1677,8427,2921,2680,2318,508,1565,1807,623,25,570,124,1183,1762,4669,90,4578
2007,northeast,New York,8811,82011,51.1,2.5,0.6,0.3,1.3,1.3,59,59185,7223,3892,535,986,414,755,1203,3331,516,23441,15472,9760,4387,1325,4146,1365,610,1848,2535,8249,2102,2051,2928,1168,2829,2763,699,113,1795,210,964,1462,6386,396,5990
2007,northeast,Philadelphia,2571,73674,49.8,2.6,0.7,0.3,1.3,1.6,68,55706,6107,3422,467,803,398,589,1165,2685,465,20870,12637,8790,2721,1126,4356,1131,701,2044,1940,8658,2455,2447,2977,779,2682,2874,641,151,1895,378,935,2106,6004,294,5710
2009,south,Miami-Fort Lauderdale,1636,59410,49.4,2.7,0.6,0.3,1.3,1.4,61,42266,5381,3591,523,826,448,801,993,1790,234,18407,12274,6967,4372,935,3737,928,452,1016,1493,6569,1585,2149,2419,417,1629,1562,601,21,567,141,622,745,4294,124,4171
2010,south,Miami-Fort Lauderdale,1638,52934,51.3,2.6,0.5,0.3,1.3,1.4,57,38354,4933,3358,470,848,383,740,917,1575,228,15911,10391,5245,4813,334,3496,701,458,865,897,6039,1149,2268,2205,418,1872,1404,542,23,526,197,430,765,4585,138,4447
2007,midwest,Chicago,3384,77337,50,2.6,0.7,0.3,1.4,1.8,72,57930,7155,4099,561,919,419,724,1476,3056,575,20830,13034,9377,2639,1019,4062,1100,621,2013,2757,8947,3075,2547,2559,767,3324,2885,726,123,1595,323,882,1505,6303,348,5955
2007,midwest,Detroit,2244,59684,50,2.5,0.6,0.3,1.3,2,72,48149,6899,4119,628,868,456,677,1490,2780,422,15866,9472,6591,2155,726,3654,665,632,1444,1758,9200,2242,2946,3606,406,2432,2268,515,106,1088,421,983,1278,4913,250,4663
2011,south,Miami-Fort Lauderdale,1647,58889,52.1,2.5,0.5,0.4,1.3,1.3,56,40595,5548,3504,490,912,369,727,1007,2044,293,15592,10320,5160,4765,395,3316,593,543,819,1150,6883,1542,2523,2387,431,2149,1442,567,37,378,204,539,714,5100,235,4865
2007,midwest,Cleveland,1106,62886,53.4,2.4,0.5,0.3,1.4,1.9,71,48571,5659,3607,479,895,386,596,1251,2053,383,16933,9761,6433,2337,991,3839,881,651,1801,2191,8365,2995,2384,2622,365,3651,2417,529,142,751,352,647,1514,5035,380,4655
2007,south,Miami-Fort Lauderdale,1674,58696,49,2.4,0.6,0.3,1.3,1.4,62,47079,5629,3796,489,925,459,807,1116,1833,308,18459,12095,7507,4118,470,3576,1180,587,1022,1238,8506,3049,2863,2076,518,1933,1630,604,31,968,143,1151,1828,4651,130,4521
2007,west,Los Angeles,4778,74851,48.9,2.8,0.8,0.3,1.4,1.8,55,59131,7641,4298,502,1023,437,881,1455,3343,515,22645,15521,9077,5857,587,3364,1343,623,1794,2026,9227,2883,2913,2826,604,2512,2782,752,123,1117,178,1110,2356,6148,247,5902
2005,south,Miami-Fort Lauderdale,1628,51232,50.4,2.5,0.6,0.4,1.3,1.5,63,42379,5637,3593,464,910,427,727,1066,2044,255,15928,10053,6385,3445,222,3421,856,532,1065,1242,8186,3199,2069,2480,437,2190,1523,633,43,724,168,524,1328,4000,221,3779
2007,west,San Diego,994,69432,46.2,2.5,0.6,0.3,1.3,1.5,53,51159,5556,3087,339,626,315,660,1147,2468,482,22562,15761,8903,6432,426,2861,1581,573,1787,1941,6556,1429,2593,2020,514,1840,2346,603,85,596,108,707,1338,6439,199,6240
2004,south,Miami-Fort Lauderdale,1779,51799,50.4,2.6,0.7,0.4,1.3,1.5,67,37673,5522,3793,507,1029,470,736,1052,1729,272,14807,9465,6150,3027,289,3140,741,525,936,954,6282,2013,1633,2284,353,2003,1412,516,33,576,141,455,852,3846,218,3628
2007,west,Phoenix,1610,71065,45.7,2.8,0.9,0.3,1.5,2,67,56847,6401,3715,496,741,406,607,1465,2685,472,19492,11711,7806,3201,705,3874,1362,655,1889,2046,11630,5074,2957,2998,602,3195,3560,707,115,555,308,972,2059,5337,239,5097
2006,south,Miami-Fort Lauderdale,1646,54990,48.8,2.4,0.6,0.3,1.4,1.5,63,46201,5728,3830,476,949,443,854,1107,1898,276,18708,12190,8100,3809,281,3611,1197,569,1140,1269,7938,2859,2457,2092,530,2167,1583,641,42,1054,197,770,1421,4407,192,4215
2008,midwest,Minneapolis-St Paul,1508,73696,46.7,2.3,0.5,0.2,1.4,2.3,71,56340,6887,3942,518,809,489,666,1461,2945,683,19164,11852,8555,2557,740,3513,965,730,2104,1864,8833,2911,2350,2973,598,3314,3217,733,128,871,328,832,2518,6969,333,6636
2005,south,Baltimore,1016,74508,50.6,2.4,0.6,0.3,1.3,1.7,71,47494,4921,2883,388,743,286,467,999,2038,390,17063,10813,7744,2464,605,3424,883,503,1440,1805,7554,2929,2073,2076,476,2551,2186,525,83,1840,242,713,1578,6043,463,5580
2005,south,Atlanta,2123,64217,46.1,2.5,0.7,0.2,1.3,1.6,69,43727,5289,2506,323,661,234,443,846,2783,265,16158,9539,6467,2523,549,3773,990,548,1307,1847,7599,3146,2124,1965,364,2017,1861,460,72,652,190,522,1207,5587,266,5321
2009,midwest,Minneapolis-St Paul,1520,73575,45.7,2.4,0.6,0.2,1.5,2.4,71,54420,6927,4183,582,802,517,775,1508,2744,776,18291,11045,7846,2343,856,3336,1187,754,1968,1617,7482,2173,2134,2522,652,3668,2922,675,125,1596,342,827,2098,7073,365,6708
2010,midwest,Minneapolis-St Paul,1532,66789,46.7,2.4,0.6,0.2,1.4,2.4,72,54457,6767,4332,632,818,553,799,1529,2436,723,17586,10252,7407,2174,671,3315,1260,883,1877,1665,8808,2908,2538,2818,545,4008,3158,676,141,1578,288,727,1738,6592,348,6244
2005,south,Houston,1753,68659,45.7,2.8,0.8,0.2,1.4,1.9,70,56260,6063,3231,382,784,329,587,1149,2832,604,17198,9427,6501,2293,634,4179,1181,732,1679,2608,11636,5305,2743,3068,519,3259,2528,737,114,998,274,1025,2736,6478,441,6038
2011,midwest,Minneapolis-St Paul,1464,66784,47.5,2.5,0.6,0.3,1.5,2.3,72,56669,7127,4392,639,904,521,735,1594,2735,663,18002,10359,7409,2245,705,3376,1111,803,2353,1827,9897,3175,3019,3214,489,4493,3188,782,167,1177,254,882,1847,6363,273,6090
2005,west,Los Angeles,5279,70847,46.7,2.9,0.8,0.3,1.5,1.9,57,58404,7222,3873,470,914,395,795,1297,3349,475,21190,14312,8994,4775,543,2996,1235,643,2004,2396,10716,4443,2566,2980,727,2316,2743,815,141,1127,199,1014,1710,6340,307,6033
2007,midwest,Minneapolis-St Paul,1458,71396,48,2.3,0.6,0.3,1.3,2.2,72,58246,7121,4144,536,856,515,739,1498,2977,867,19842,11718,8574,2455,689,3482,1553,670,2420,2251,9678,3950,2432,2702,594,3365,3672,727,132,823,290,804,2172,6503,308,6195
2005,west,San Diego,954,73846,48.7,2.6,0.6,0.3,1.4,1.9,56,62321,6238,3261,423,711,376,529,1222,2977,755,23034,15654,9517,5374,763,3001,1830,499,2049,2111,11115,4959,2542,2753,862,3421,2774,866,154,986,99,1161,2470,7138,425,6713
2005,midwest,Minneapolis-St Paul,1403,85455,47.7,2.2,0.5,0.2,1.4,2.2,75,61428,6393,3297,470,564,431,584,1248,3095,688,20380,11650,8879,2004,767,3245,2466,651,2368,2346,8915,3593,2031,2618,673,3322,4070,623,161,1269,364,1184,3687,8026,376,7651
2005,west,Phoenix,1565,65520,44.3,2.7,0.8,0.2,1.4,1.9,68,53570,7187,3822,482,894,433,672,1342,3365,693,16469,9279,6249,2456,573,3348,899,784,2158,2019,10964,5422,2217,2832,493,3134,2615,657,115,794,411,919,1910,5683,312,5371
2004,midwest,Minneapolis-St Paul,1293,78388,47.1,2.3,0.5,0.2,1.4,2.4,75,58900,6850,3567,493,713,458,600,1303,3282,750,19341,11245,8463,1896,886,3070,1126,810,3090,2472,8550,3140,1853,2826,731,3100,3656,700,179,1296,346,1177,2275,8210,414,7796
2005,northeast,New York,8155,73243,50.6,2.5,0.6,0.3,1.4,1.4,58,55137,7101,3877,533,989,425,759,1172,3224,488,20865,13848,8613,4424,812,3709,1019,599,1689,2746,7792,2416,1798,2555,1022,2607,2451,659,133,1597,245,1132,1353,5968,380,5588
2005,northeast,Philadelphia,2856,60304,48.4,2.4,0.6,0.3,1.3,1.5,71,45922,6031,3372,454,834,382,620,1082,2659,437,16417,9722,6748,2510,464,3771,877,634,1413,2063,7092,2661,1783,2227,421,2188,1871,575,108,1064,371,561,1301,5842,323,5519
2006,midwest,Minneapolis-St Paul,1467,76772,48.1,2.3,0.5,0.3,1.4,2.2,73,60059,6848,3845,517,703,475,731,1419,3003,928,20819,11559,8592,2222,745,3294,2871,562,2533,2193,8694,3689,2151,2204,649,3705,3952,647,156,1079,320,1149,2953,6615,283,6332
2004,west,Portland (OR),1052,56702,47.9,2.5,0.6,0.3,1.4,2.2,63,50313,6377,3557,453,783,432,650,1239,2820,526,16039,9862,6650,2535,677,2878,933,553,1813,1822,8845,3964,1742,2542,596,2693,3057,578,188,1200,344,1303,1775,5565,367,5198
2005,midwest,Chicago,3119,73086,49.5,2.6,0.7,0.3,1.4,1.8,71,54757,6902,3730,491,879,381,664,1315,3171,839,19059,11755,8448,2573,733,3620,1096,695,1893,2468,8453,3352,2092,2302,706,2878,2621,632,141,1513,312,817,1986,6135,358,5777
2005,midwest,Detroit,2192,62834,48.7,2.6,0.7,0.2,1.4,2,75,50345,6614,3827,527,931,416,638,1316,2787,463,16831,9899,7710,1543,645,3794,823,588,1727,2057,8652,2252,2405,3585,411,2349,2287,584,142,1297,517,1043,1690,5818,346,5472
2008,west,San Francisco-Oakland-San Jose,2909,91330,46.9,2.5,0.6,0.2,1.4,1.8,55,67730,7952,4280,565,891,476,920,1427,3672,714,26064,19096,11227,6508,1361,3139,1344,585,1899,2413,9535,2748,2235,3252,1300,3319,3247,909,150,1555,188,958,2029,8697,255,8443
2005,midwest,Cleveland,1120,55798,52.6,2.5,0.6,0.4,1.3,2,72,43611,5043,2996,375,840,304,476,1001,2047,488,14654,8546,5659,2250,636,3624,546,550,1388,1618,7596,2965,1825,2487,318,3035,2338,489,153,1070,380,1056,1227,4464,361,4103
2009,west,San Francisco-Oakland-San Jose,2910,90270,47.1,2.5,0.6,0.2,1.4,1.8,54,67360,7920,4214,576,843,457,920,1418,3706,676,26268,19190,11194,6573,1423,3207,1498,611,1762,2230,8509,2457,1931,3058,1062,3461,3116,782,158,1754,153,1077,2020,9237,276,8961
2010,west,San Francisco-Oakland-San Jose,3027,95724,48,2.5,0.6,0.3,1.4,1.9,53,71613,8260,4301,567,895,424,991,1424,3959,699,26990,19182,11051,6594,1537,3318,2201,604,1684,2123,9348,2351,2340,3417,1241,3759,3328,789,186,1985,180,1307,2476,10181,307,9874
2004,south,Baltimore,1169,63372,51.3,2.3,0.5,0.4,1.2,1.6,69,39217,4324,2655,374,737,275,448,820,1670,354,14714,9487,6644,2366,476,2944,614,417,1253,1641,5799,2052,1541,1844,363,2215,1696,507,80,998,219,395,1228,5046,235,4811
2004,south,Atlanta,1989,59942,45.8,2.5,0.7,0.2,1.3,1.5,72,39992,5496,2676,364,750,255,502,804,2820,337,14346,8497,6019,2202,276,3430,717,518,1184,1744,6044,2359,1695,1748,242,1837,2079,397,65,773,142,421,1047,5265,364,4901
2007,west,San Francisco-Oakland-San Jose,2969,89770,48.3,2.4,0.5,0.3,1.4,1.8,57,68966,8393,4323,562,919,478,916,1448,4070,774,26111,18800,11238,6208,1355,3204,1567,600,1939,2456,10591,2973,2589,3550,1479,3321,3409,932,174,1450,176,1101,1822,8256,270,7986
2005,west,San Francisco-Oakland-San Jose,2923,90781,47.5,2.5,0.6,0.3,1.4,1.9,58,66344,7942,4173,527,965,443,839,1399,3769,757,26382,18845,12442,5112,1290,2925,1574,625,2414,2524,10080,3492,2309,3261,1017,2820,3080,734,205,1106,151,1073,1741,7748,342,7406
2004,south,Houston,1751,69557,45.1,2.9,1,0.2,1.5,1.9,68,52998,5862,3118,422,776,338,556,1025,2744,430,16609,9245,6373,2255,617,3877,1067,653,1767,2265,10326,4584,2249,3107,386,2942,2338,746,129,1061,246,879,2677,6488,425,6063
2004,west,San Francisco-Oakland-San Jose,2724,86935,47,2.6,0.6,0.3,1.4,1.8,56,60992,7581,3909,519,888,445,772,1285,3672,628,22885,15947,10068,4928,951,2711,1384,634,2210,2382,9518,3347,1922,3296,953,2773,2938,664,212,1107,143,1014,1607,7538,336,7202
2004,midwest,Chicago,3189,67726,50.1,2.6,0.7,0.3,1.4,1.8,73,54935,6456,3453,473,815,365,609,1192,3002,581,18962,11440,8510,2138,792,3541,1063,792,2124,2318,8875,4013,1754,2464,644,2933,2629,664,162,1456,346,920,2969,5665,384,5282
2004,midwest,Detroit,2123,66189,48.7,2.7,0.8,0.3,1.4,2.1,78,51219,6780,3965,545,1047,405,635,1333,2815,380,16490,9656,7389,1462,805,3511,864,568,1890,2251,9246,2914,2129,3759,444,2261,2619,568,149,1140,480,895,1528,6430,451,5979
2006,west,San Francisco-Oakland-San Jose,2956,86112,48.9,2.4,0.5,0.3,1.4,1.9,58,69559,8369,4375,558,1009,466,888,1454,3994,888,27310,19519,12526,5539,1454,3199,1808,609,2176,2587,10792,3564,2489,3502,1238,3224,3397,827,201,1080,148,1190,1768,7779,352,7427
2004,midwest,Cleveland,1161,51602,50.8,2.4,0.6,0.3,1.3,1.8,74,38476,4526,2788,391,726,320,455,896,1738,435,13349,7560,5333,1613,614,3412,434,570,1373,1156,6095,2056,1449,2328,263,2600,2213,439,147,719,364,926,1027,4478,294,4184
2011,west,San Francisco-Oakland-San Jose,3127,98242,48.9,2.4,0.5,0.3,1.3,1.9,52,73601,8433,4525,562,1013,437,1008,1506,3908,705,25900,17773,9551,6884,1338,3374,2413,600,1741,2379,10466,3098,2550,3537,1282,4186,3384,827,198,1961,208,1519,3118,10316,397,9919
2008,west,Seattle-Tacoma,1910,79874,47.5,2.3,0.5,0.2,1.4,2.6,63,66015,8082,4596,614,865,539,842,1736,3486,839,22029,13829,8727,4069,1033,3554,1592,741,2312,2464,9380,3395,2454,2589,943,3684,4463,833,218,1070,342,1490,2918,8202,408,7794
2004,northeast,New York,7687,74851,50.6,2.6,0.6,0.3,1.4,1.4,58,54121,7283,4014,568,1109,462,766,1111,3269,553,20065,13271,8277,4245,749,3528,957,579,1730,2858,7581,2316,1495,2716,1054,2412,2330,687,144,1643,265,1064,1168,6068,422,5646
2004,northeast,Philadelphia,2620,61496,49.3,2.5,0.6,0.3,1.3,1.5,70,47289,6481,3620,522,963,408,611,1116,2861,567,15915,9289,6344,2470,475,3600,687,628,1709,2279,8084,3802,1477,2310,495,2254,1895,643,132,1235,275,729,1227,5573,350,5222
2009,west,Seattle-Tacoma,1861,80701,47.2,2.3,0.5,0.3,1.4,2.4,62,65317,7174,3842,547,762,399,717,1417,3332,839,21627,13453,8530,3754,1168,3611,1836,637,2089,2330,10054,4463,2046,2443,1102,3922,4480,878,169,1310,397,1325,3056,7754,376,7378
2004,northeast,Pittsburgh,1154,52637,52.9,2.3,0.5,0.4,1.3,1.9,73,39891,5205,2785,399,681,331,460,915,2420,387,12031,6429,4454,1524,451,3103,563,549,1386,1747,7456,3307,1538,2218,393,2528,2102,479,144,879,465,662,1817,3989,378,3611
2010,west,Seattle-Tacoma,1930,79155,46.9,2.4,0.6,0.2,1.3,2.3,61,61773,6951,3796,542,738,407,672,1436,3156,726,21557,13612,8557,3631,1424,3630,1677,688,1951,1920,9485,3390,2411,2502,1182,3681,3848,852,183,1552,322,1117,2292,7285,390,6895
2004,west,Los Angeles,5112,65810,46.9,2.9,0.8,0.3,1.5,1.9,58,55760,7062,3876,492,976,411,749,1248,3185,485,19911,13030,8122,4383,524,2908,1224,632,2119,2386,10972,4996,2312,3029,635,2275,2719,798,158,960,179,848,1272,5736,298,5438
2011,west,Seattle-Tacoma,1951,74072,47.6,2.5,0.6,0.3,1.3,2.3,61,60674,7776,4580,625,874,482,849,1751,3196,628,20681,13123,8038,3842,1242,3654,1283,710,1910,1901,9526,3234,2838,2415,1040,3754,3401,735,194,1790,284,999,2447,6558,356,6202
2004,west,San Diego,892,69067,50.1,2.6,0.6,0.4,1.4,1.9,63,59805,6437,3462,458,761,404,606,1233,2976,613,21484,14511,9118,4627,767,2767,1561,646,1999,1935,11301,5681,2094,2587,939,3038,2653,805,192,1245,136,940,2520,6507,423,6084
2007,west,Seattle-Tacoma,2006,74510,48,2.3,0.5,0.2,1.3,2.5,65,63565,7296,4313,543,879,498,750,1641,2983,600,21515,13890,8883,3950,1057,3485,1103,641,2396,2548,9643,3113,2608,2816,1107,3373,3748,752,245,1125,282,1321,3365,7750,406,7345
2005,west,Seattle-Tacoma,1915,65672,47.8,2.3,0.5,0.2,1.5,2.4,67,55544,6887,3778,479,743,417,662,1477,3109,752,19142,12279,8515,2796,968,3046,733,611,2473,1541,10127,4145,2221,2950,810,2889,3196,626,179,848,289,924,1995,6149,371,5779
2004,west,Honolulu,278,70104,51.8,2.8,0.6,0.4,1.5,1.8,61,54937,8089,4231,556,1090,335,831,1419,3858,463,17400,10887,6516,3960,411,2813,692,817,2191,2157,9921,4768,1658,2427,1069,2600,3126,772,128,1320,241,861,1112,6746,520,6226
2004,west,Anchorage,119,71031,45.8,2.5,0.7,0.2,1.5,2.5,71,59427,6412,3713,457,846,437,605,1369,2698,636,18764,11391,7814,2850,727,3228,985,771,2388,1820,12596,6082,2157,3239,1119,3397,3420,615,218,842,440,1227,1853,7187,581,6606
2004,west,Phoenix,1423,60726,45.7,2.6,0.8,0.3,1.3,1.8,70,49009,6434,3599,470,859,415,632,1222,2835,585,14719,8414,5911,2100,402,3057,984,605,1659,1876,10549,5490,1769,2911,380,2890,2355,666,132,739,373,786,1662,5243,400,4843
2004,west,Denver,1270,65224,45.6,2.4,0.6,0.3,1.4,1.9,64,49996,6251,3789,511,886,428,619,1344,2462,635,15772,10078,6613,2936,530,3013,722,548,1411,1755,8646,3529,1755,2573,789,2724,3227,636,144,1573,308,1010,1624,5689,240,5449
2004,west,Seattle-Tacoma,1801,63888,47.8,2.3,0.5,0.2,1.5,2.4,66,54027,6904,3908,475,840,457,666,1469,2996,781,17483,10741,7144,2737,860,2769,725,706,2541,1833,9491,3897,1914,2813,867,2910,3002,625,214,1217,236,1004,2070,6256,346,5910
2006,west,Los Angeles,5049,76384,47.7,2.8,0.8,0.3,1.5,1.8,56,60932,7785,4257,494,1026,416,879,1442,3528,543,22336,15271,9260,5394,616,3125,1321,628,1990,2383,10141,3338,2712,3364,727,2324,2790,776,126,1298,199,1141,2652,6439,254,6185
2006,west,Seattle-Tacoma,1954,67923,48.5,2.3,0.5,0.2,1.4,2.4,67,59384,6486,3615,447,761,390,619,1398,2871,570,20671,13530,9213,3261,1056,3322,860,510,2449,2080,10047,3917,2288,2747,1094,3127,3542,663,196,944,309,1101,3147,6501,395,6107
2006,west,San Diego,1009,73604,46.9,2.6,0.7,0.3,1.3,1.7,52,54648,5312,2819,332,630,286,510,1061,2493,520,22670,16174,9278,6276,620,2837,1637,427,1596,2292,7258,2090,2504,1962,702,2613,2938,691,103,677,95,890,1941,6648,307,6340
2004,midwest,St Louis,1075,61535,49,2.4,0.7,0.2,1.4,2.1,73,48365,6266,3452,494,854,395,536,1173,2814,738,14409,7620,5568,1494,558,3251,921,581,2035,2015,8649,4095,1853,2287,415,2980,2477,563,127,1370,348,699,2177,5546,555,4991
2006,west,Phoenix,1556,68070,45,2.7,0.8,0.2,1.5,2.1,64,57657,7156,4045,508,873,445,676,1542,3112,645,18591,10615,6736,3135,744,3628,1075,808,2464,2442,12424,6383,2594,2846,601,3058,3068,708,119,628,349,897,1886,5687,300,5387
2008,south,Washington DC,2181,99881,47.6,2.6,0.7,0.2,1.5,1.9,68,69106,7835,4160,563,970,476,809,1342,3675,673,25622,16842,11447,4180,1216,3977,1842,767,2193,2687,9563,3028,2465,2864,1206,3239,3320,969,146,1853,220,969,2002,10008,523,9485
2009,south,Washington DC,2143,104658,46.9,2.6,0.7,0.2,1.5,1.9,67,70075,7693,4199,569,968,453,839,1370,3494,585,25427,16398,10630,4447,1321,4103,1769,791,2366,2666,10067,3363,2139,3411,1155,3554,3656,992,165,1901,229,854,1950,10336,412,9923
2006,south,Baltimore,1006,78930,48.9,2.5,0.6,0.3,1.4,1.7,71,53244,6222,3386,438,820,338,573,1217,2836,479,19123,11930,8921,2504,505,3951,960,650,1632,1755,8673,3562,2508,2049,554,2431,2726,565,84,1771,229,908,1891,6387,546,5841
2006,south,Atlanta,2204,67859,45.7,2.5,0.7,0.2,1.3,1.7,66,46705,5646,2871,368,662,281,518,1042,2775,345,17716,10860,7353,2831,676,3874,1035,515,1433,1792,8053,2957,2407,2119,570,2355,2130,513,75,420,202,635,1281,5542,242,5300
2010,south,Washington DC,2105,108724,48.2,2.5,0.6,0.3,1.4,1.9,67,72448,8342,4482,592,1011,466,875,1538,3860,740,25590,16628,10724,4309,1596,4254,1740,720,2247,2775,10889,3176,2479,4009,1224,4306,3710,1049,196,1300,232,1184,2130,10004,436,9568
